scheme_name,VaR_95,CVaR_95
ABSL Frontline Equity Fund - Regular - Growth,-0.013282,-0.017439
ABSL Liquid Fund - Regular - Growth,-0.000269,-0.000422
ABSL Small Cap Fund - Regular - Growth,-0.026021,-0.032459
Axis Bluechip Fund - Direct - Growth,-0.014226,-0.017487
Axis Bluechip Fund - Regular - Growth,-0.01375,-0.017328
Axis Midcap Fund - Regular - Growth,-0.01848,-0.02426
Axis Small Cap Fund - Regular - Growth,-0.026188,-0.031667
DSP Midcap Fund - Regular - Growth,-0.017882,-0.022607
DSP Small Cap Fund - Regular - Growth,-0.023483,-0.031036
DSP Top 100 Equity Fund - Regular - Growth,-0.014474,-0.018402
HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.018365,-0.023094
HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.019034,-0.023456
HDFC Short Term Debt Fund - Regular - Growth,-0.003793,-0.004994
HDFC Top 100 Fund - Direct Plan - Growth,-0.014592,-0.01831
HDFC Top 100 Fund - Regular Plan - Growth,-0.014364,-0.01806
ICICI Pru Bluechip Fund - Direct - Growth,-0.013728,-0.017494
ICICI Pru Bluechip Fund - Regular - Growth,-0.01355,-0.017451
ICICI Pru Liquid Fund - Regular - Growth,-0.000222,-0.000373
ICICI Pru Midcap Fund - Regular - Growth,-0.018892,-0.024342
ICICI Pru Value Discovery Fund - Regular - Growth,-0.014388,-0.019405
Kotak Bluechip Fund - Regular - Growth,-0.013142,-0.016363
Kotak Emerging Equity Fund - Regular - Growth,-0.018219,-0.022725
Kotak Flexicap Fund - Regular - Growth,-0.014508,-0.018381
Kotak Liquid Fund - Regular - Growth,-0.000285,-0.000411
Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.014712,-0.018765
Mirae Asset Large Cap Fund - Regular - Growth,-0.01356,-0.017623
Mirae Asset Tax Saver Fund - Regular - Growth,-0.017118,-0.021328
Nippon India ETF Nifty 50 BeES,-0.012554,-0.016177
Nippon India Gilt Securities Fund - Regular - Growth,-0.003804,-0.004919
Nippon India Large Cap Fund - Direct - Growth,-0.013443,-0.01663
Nippon India Large Cap Fund - Regular - Growth,-0.013954,-0.017619
Nippon India Small Cap Fund - Regular - Growth,-0.025438,-0.032304
SBI Bluechip Fund - Direct Plan - Growth,-0.013501,-0.017336
SBI Bluechip Fund - Regular Plan - Growth,-0.012846,-0.016397
SBI Magnum Gilt Fund - Regular Plan - Growth,-0.003938,-0.005014
SBI Small Cap Fund - Direct Plan - Growth,-0.026859,-0.032384
SBI Small Cap Fund - Regular Plan - Growth,-0.024507,-0.030595
UTI Flexi Cap Fund - Regular - Growth,-0.015232,-0.019411
UTI Mid Cap Fund - Regular - Growth,-0.01922,-0.023251
UTI Nifty 50 Index Fund - Regular - Growth,-0.012613,-0.01549
